transcript_id	gene_id	biotype	log2FC	qval	five_prime	three_prime	intergenic	coding_prob
MSTRG.26368.3	MSTRG.26368	novel	-1.46998656265092	0.611463328465993	TRUE	TRUE	TRUE	0.0117472473184353
MSTRG.19952.2	MSTRG.19952	novel	-1.31425304878631	0.644858692389983	TRUE	TRUE	TRUE	0.105831836354553
MSTRG.28189.1	MSTRG.28189	novel	0.58403309551254	0.766673091312736	TRUE	TRUE	TRUE	0.11743894826396
MSTRG.25612.1	MSTRG.25612	novel	-0.342635521635798	0.854586291399811	TRUE	TRUE	TRUE	0.0113289245277493
MSTRG.1305.1	MSTRG.1305	novel	0.306707931609464	0.923138584471882	TRUE	TRUE	TRUE	0.0852707409697076
MSTRG.19952.3	MSTRG.19952	novel	-0.629886752764503	0.944969417781584	TRUE	TRUE	TRUE	0.105831836354553
MSTRG.9779.5	MSTRG.9779	novel	-2.8471771619218	2.16617694326653e-29	TRUE	TRUE	FALSE	1.08456947627443e-06
MSTRG.13403.29	MSTRG.13403	novel	-2.48731196058788	1.92190609619425e-17	TRUE	TRUE	FALSE	0.29304689808641
MSTRG.17795.5	MSTRG.17795	novel	9.70779583834426	1.84588504859414e-14	TRUE	TRUE	FALSE	0.279827363508209
MSTRG.2818.2	MSTRG.2818	novel	-4.33774529669124	5.65868479236252e-14	TRUE	TRUE	FALSE	1
MSTRG.11869.1	MSTRG.11869	novel	-1.66355136651838	5.81270471034803e-14	TRUE	TRUE	FALSE	0.0490332612780473
MSTRG.28242.13	MSTRG.28242	novel	1.70996535249091	1.84654314283917e-11	TRUE	TRUE	FALSE	0.0151456035412768
MSTRG.10440.1	MSTRG.10440	novel	-3.50375247312622	2.68032390053552e-11	TRUE	TRUE	FALSE	0.996899964306855
MSTRG.7403.1	MSTRG.7403	novel	-1.92333925834795	3.28136362785647e-10	TRUE	TRUE	FALSE	0.244853335162115
MSTRG.8075.1	MSTRG.8075	novel	9.29297708162384	9.9478631041565e-10	TRUE	TRUE	FALSE	0.000226769955182851
MSTRG.4420.13	MSTRG.4420	novel	1.26368300692691	1.0978339578158e-09	TRUE	TRUE	FALSE	0.996959851821974
MSTRG.28242.14	MSTRG.28242	novel	7.67733838432993	5.86505078125319e-09	TRUE	TRUE	FALSE	0.0151824519845529
MSTRG.19308.2	MSTRG.19308	novel	-1.24676718230312	2.16976504074968e-08	TRUE	TRUE	FALSE	0.0581970154811984
MSTRG.2818.1	MSTRG.2818	novel	-4.33370815997974	2.43382103403552e-08	TRUE	TRUE	FALSE	1
MSTRG.28242.28	MSTRG.28242	novel	1.92670829571689	3.90067013590834e-08	TRUE	TRUE	FALSE	0.309634389740958
MSTRG.20342.5	MSTRG.20342	novel	-1.2096031938744	4.64506491299854e-08	TRUE	TRUE	FALSE	0.138853066007902
MSTRG.12212.10	MSTRG.12212	novel	-1.51035929937399	5.36262558294838e-08	TRUE	TRUE	FALSE	0.0625305159738284
MSTRG.23648.2	MSTRG.23648	novel	1.12346147129736	1.3219203816764e-07	TRUE	TRUE	FALSE	0.951964753166432
MSTRG.28766.6	MSTRG.28766	novel	1.53543505049611	2.9451767886185e-07	TRUE	TRUE	FALSE	0.346711870276759
MSTRG.28188.3	MSTRG.28188	novel	-1.73666206601403	2.24303873323e-06	TRUE	TRUE	FALSE	0.0146120919295631
MSTRG.25625.3	MSTRG.25625	novel	-2.32466454161018	4.56990732441391e-06	TRUE	TRUE	FALSE	0.823947552463649
MSTRG.11468.1	MSTRG.11468	novel	2.42604454013145	1.2622998496071e-05	TRUE	TRUE	FALSE	0.991943977865882
MSTRG.24802.1	MSTRG.24802	novel	-1.14588473144243	1.36529631352817e-05	TRUE	TRUE	FALSE	0.932528057560199
MSTRG.1094.9	MSTRG.1094	novel	-1.05116243732711	1.84031744400307e-05	TRUE	TRUE	FALSE	0.0698827283992763
MSTRG.26328.4	MSTRG.26328	novel	0.699195160032761	2.22476154817728e-05	TRUE	TRUE	FALSE	0.78095786750133
MSTRG.25382.4	MSTRG.25382	novel	-4.81111993881801	3.00118158922278e-05	TRUE	TRUE	FALSE	0.293892532883216
MSTRG.22570.4	MSTRG.22570	novel	7.36032951773182	4.4661858327288e-05	TRUE	TRUE	FALSE	0.679688259121713
MSTRG.18333.1	MSTRG.18333	novel	-1.53224925664039	5.93341346776887e-05	TRUE	TRUE	FALSE	0.635766532421047
MSTRG.23069.4	MSTRG.23069	novel	8.3379703882528	7.9646702964509e-05	TRUE	TRUE	FALSE	0.000965081649664602
MSTRG.8428.3	MSTRG.8428	novel	1.05108734007803	0.000113354319409945	TRUE	TRUE	FALSE	0.999982889509262
MSTRG.4581.14	MSTRG.4581	novel	-1.08588020691131	0.000120132505773663	TRUE	TRUE	FALSE	0.957747996009768
MSTRG.26328.3	MSTRG.26328	novel	0.695491184391443	0.000126077493857233	TRUE	TRUE	FALSE	0.78095786750133
MSTRG.16519.4	MSTRG.16519	novel	-3.81442625710957	0.00015233498252593	TRUE	TRUE	FALSE	0.00221413584733917
MSTRG.16705.6	MSTRG.16705	novel	1.06587729944142	0.000159486040640415	TRUE	TRUE	FALSE	0.00922046974081014
MSTRG.21527.6	MSTRG.21527	novel	-1.01647394541644	0.000160353843881798	TRUE	TRUE	FALSE	0.0619398754949003
MSTRG.20346.1	MSTRG.20346	novel	-1.9549481752275	0.000177076351672972	TRUE	TRUE	FALSE	0.00782993465718339
MSTRG.20785.3	MSTRG.20785	novel	-1.12613849696496	0.000197129820107861	TRUE	TRUE	FALSE	0.146395804750421
MSTRG.19784.6	MSTRG.19784	novel	1.08096048937261	0.000209331230505981	TRUE	TRUE	FALSE	0.00172372303026258
MSTRG.24419.22	MSTRG.24419	novel	-1.50177617023312	0.000215331820357989	TRUE	TRUE	FALSE	0.520419656806939
MSTRG.15852.5	MSTRG.15852	novel	-0.665845134312745	0.000224097327965386	TRUE	TRUE	FALSE	0.0124359069079469
MSTRG.25418.49	MSTRG.25418	novel	-1.05530565459453	0.000286003541301935	TRUE	TRUE	FALSE	0.0298441445048871
MSTRG.10096.3	MSTRG.10096	novel	0.847283039725001	0.000379798338763648	TRUE	TRUE	FALSE	0.00036978284323593
MSTRG.11381.2	MSTRG.11381	novel	0.894731258725741	0.000443862464049388	TRUE	TRUE	FALSE	0.517458886783577
MSTRG.19624.3	MSTRG.19624	novel	-1.0464530050164	0.000455810149984192	TRUE	TRUE	FALSE	0.701984868985065
MSTRG.29188.9	MSTRG.29188	novel	-1.00296744163158	0.000541627974467279	TRUE	TRUE	FALSE	0.402783985336294
MSTRG.5313.4	MSTRG.5313	novel	-2.48186978100079	0.000585244787520013	TRUE	TRUE	FALSE	0.872223658944741
MSTRG.4774.26	MSTRG.4774	novel	-1.77883581747459	0.000626286824722455	TRUE	TRUE	FALSE	0.921502821749864
MSTRG.18449.9	MSTRG.18449	novel	-7.66471881757989	0.000765954070825066	TRUE	TRUE	FALSE	0.131897225936626
MSTRG.3985.96	MSTRG.3985	novel	-1.2549584972922	0.000782538025207937	TRUE	TRUE	FALSE	0.973345921145333
MSTRG.15545.10	MSTRG.15545	novel	0.880380837203506	0.000875289554890113	TRUE	TRUE	FALSE	0.807798471512932
MSTRG.5160.5	MSTRG.5160	novel	1.23807407074435	0.000884999557501719	TRUE	TRUE	FALSE	0.998970870344526
MSTRG.26048.5	MSTRG.26048	novel	0.971070627970494	0.000930147218811175	TRUE	TRUE	FALSE	0.497514700791021
MSTRG.7597.7	MSTRG.7597	novel	0.919948953993683	0.000966780674251998	TRUE	TRUE	FALSE	0.237168847934735
MSTRG.23712.6	MSTRG.23712	novel	-1.21434644955951	0.00108678628193318	TRUE	TRUE	FALSE	0.735755276521092
MSTRG.6005.75	MSTRG.6005	novel	-5.58530980436237	0.00115791358308611	TRUE	TRUE	FALSE	0.0130549098716702
MSTRG.16444.5	MSTRG.16444	novel	-1.90505987163527	0.00121634790446593	TRUE	TRUE	FALSE	0.457762624435227
MSTRG.15820.8	MSTRG.15820	novel	-1.37709651648919	0.00125400860767387	TRUE	TRUE	FALSE	0.142319503287611
MSTRG.4257.2	MSTRG.4257	novel	-0.844739430492403	0.00135006834269363	TRUE	TRUE	FALSE	0.017874462371552
MSTRG.13523.8	MSTRG.13523	novel	-7.7428494887646	0.00136222280679241	TRUE	TRUE	FALSE	0.999607294198246
MSTRG.7664.9	MSTRG.7664	novel	-0.595640925500246	0.00150517012274821	TRUE	TRUE	FALSE	0.999999999851202
MSTRG.17362.4	MSTRG.17362	novel	1.33630350027732	0.00159540650720289	TRUE	TRUE	FALSE	1.81632276179504e-05
MSTRG.16729.6	MSTRG.16729	novel	3.26735727632723	0.0018496380187156	TRUE	TRUE	FALSE	0.984007860870992
MSTRG.799.3	MSTRG.799	novel	0.955507790656044	0.00192562500464606	TRUE	TRUE	FALSE	0.914735960025854
MSTRG.16806.3	MSTRG.16806	novel	-0.804230363825919	0.0019256419270655	TRUE	TRUE	FALSE	0.0012398217215158
MSTRG.18800.7	MSTRG.18800	novel	-1.63193906322234	0.00198584777905857	TRUE	TRUE	FALSE	0.329802752473423
MSTRG.15894.4	MSTRG.15894	novel	0.940288810079204	0.00202843789032738	TRUE	TRUE	FALSE	0.00150901161610102
MSTRG.14985.10	MSTRG.14985	novel	-1.28085385956576	0.00208225116845628	TRUE	TRUE	FALSE	0.518757476504632
MSTRG.18333.2	MSTRG.18333	novel	-1.64238371925845	0.00217526156512383	TRUE	TRUE	FALSE	0.635855407762579
MSTRG.3878.4	MSTRG.3878	novel	1.01115343202778	0.00238221220534126	TRUE	TRUE	FALSE	0.00171854624389396
MSTRG.27611.2	MSTRG.27611	novel	1.21614820031893	0.0024254512771898	TRUE	TRUE	FALSE	0.999987840519379
MSTRG.17630.3	MSTRG.17630	novel	-1.89131916684534	0.0026201834447478	TRUE	TRUE	FALSE	0.999986234907308
MSTRG.8259.12	MSTRG.8259	novel	-6.76480882279276	0.00265301556250778	TRUE	TRUE	FALSE	0.0155877260729017
MSTRG.23648.1	MSTRG.23648	novel	0.835906273686991	0.002744687444216	TRUE	TRUE	FALSE	0.951964753166432
